year,Australia,Austria,Belgium,Bulgaria,Canada,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,United Kingdom,United States
2002,,,,,,,,,,,,,,,,,,,0.0676688160502614,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,0.0661321264826859,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,0.0560301449177817,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,0.0616373694893005,,,,,,,,,,,,,,,,,,
2006,0.0555425202948491,,,,,,,,,,,,,,,,,,0.0568538703477444,,,,,,,,,,,,,,,,,,0.210138153561815
2007,0.0687678792256716,0.022086347596953,0.056264472063609,0.0102510406867948,0.1179548079649377,0.0165271856520934,0.0018220395289332,0.0706757792754989,0.0098902807747167,0.0714108596737317,0.0353917461080997,0.0309372737207181,0.008298434390644,0.0109215293405773,0.0369774919272256,0.6497551669561737,0.0079401053636254,,0.065436137054038,0.0317590596442761,0.0172953742871542,0.0417383255029814,0.0410259371353095,0.0438732763594146,0.0883831575583616,0.0129357855158244,0.0642968675980583,0.0312542054390175,0.007757867131043,0.0019626249354242,0.0013756225408239,0.0217331101579903,0.0259571700746328,0.115012183719156,0.0704926280070933,0.0652280686181017,0.2584103713165222
2008,0.0711963115821774,0.0211475905608732,0.0326430255510954,0.019696207188306,0.0756870227134475,0.0085920191433407,0.0206965539397495,0.0730335859310026,0.0251195597037434,0.0764461655723897,0.0256425918070272,0.0405704504752677,0.0137036021996395,0.0055970384869865,0.0438181348799065,0.6325067525162686,0.010754260400934,,0.0453958688513807,0.0391074967523966,0.0,0.0730300476489484,0.0397065003963234,0.0348187947629584,0.0561714220158033,0.0145639779081894,0.0280681013005375,0.0035908887386802,0.0090677469138195,0.0,0.0013247821800609,0.0326232939315056,0.023581548356797,0.1060383416443892,0.0362767730256777,0.0726031982003998,0.2460849473393861
2009,0.0521949784338461,0.0260440653054903,0.0427296657361209,0.0225915757454681,0.0589924227873233,0.0,0.0001150615959368,0.032519683837561,0.032516017825796,0.0510510855151173,0.0215389333878136,0.0255393870732659,0.0070646704563106,0.0013389040758479,0.0460998362475762,0.3478438324152034,0.0058008285968095,0.017522369055784,0.0404443380516794,0.0,0.0005375655035998,0.0140010908764908,0.0256480332312722,0.0174563974608489,0.0451101835091954,0.0003645042466177,0.0193188224974019,0.0017427076572516,0.0094232924858237,0.0,0.00200946967624,0.0100206553954838,0.0179930773392956,0.0738490416683116,0.0437118956078578,0.0405423690370535,0.1836743173132158
2010,0.0281808917158666,0.0125364407573999,0.0227158118137066,0.0040731354861917,0.0652678671267412,0.0006724803344684,0.0082497174953348,0.0255314599221608,0.04661036033437,0.0548782494615934,0.0203183146794913,0.0256224830454383,0.0022362310223913,0.0189333450401781,0.0306283583528701,0.3700096247832808,0.0047788883026015,0.0221900044615238,0.0441911988472013,0.0022938953726881,0.0003763090346956,0.0050458325611944,0.0213370755618427,0.0463074243174164,0.0465407724063824,0.0010455881790735,0.0094781978949851,0.0015848012667351,0.0093595332154176,0.0030153918883125,0.0009153755169914,0.0196949009855903,0.0235497978485378,0.073798876328556,0.0350291523002002,0.0367253671726368,0.2025463474080721
2011,0.0158722042087896,0.0317124985720448,0.030685444570982,0.0044733475984962,0.0784560073729851,0.0255272278577355,0.002075939352674,0.0526742907153586,0.0081352983930034,0.0441735244928446,0.019642761608913,0.0255216380837323,0.0048561250904016,0.0354288277587727,0.035297495057712,0.4592266202632377,0.0064395640132216,0.0247432863346918,0.048447592241793,0.0136002753637447,0.0116878545729762,0.0124298717741798,0.0224491526423928,0.0171639200825275,0.0346304290454429,0.0073568374958164,0.0056188817507232,0.0028905132532763,0.0133049988989934,0.0,0.0057147186446624,0.0218211575245084,0.0270394931606284,0.0596012206123007,0.0342422345310885,0.0408698577757604,0.2805126771004785
