# OECD Entrepreneurship Financing DB, 'Venture capital investments
# (market statistics)', dataflow DSD_VC@DF_VC_INV. Total stage only,
# % of GDP and absolute US$ (millions). Accessed 2026-06-24.
country,stage,unit,year,value
Belgium,Seed,Percentage of GDP,2015,0.0
Belgium,Seed,"US dollars, exchange rate converted",2015,0.0
Czechia,Seed,Percentage of GDP,2007,0.0
Czechia,Seed,"US dollars, exchange rate converted",2007,0.0
Czechia,Seed,"US dollars, exchange rate converted",2008,0.0
Czechia,Seed,Percentage of GDP,2008,0.0
Czechia,Seed,Percentage of GDP,2009,0.0
Czechia,Seed,"US dollars, exchange rate converted",2009,0.0
Czechia,Seed,"US dollars, exchange rate converted",2010,0.0
Czechia,Seed,Percentage of GDP,2010,0.0
Czechia,Seed,Percentage of GDP,2011,0.0
Czechia,Seed,"US dollars, exchange rate converted",2011,0.0
Czechia,Seed,"US dollars, exchange rate converted",2012,0.0
Czechia,Seed,Percentage of GDP,2012,0.0
Czechia,Seed,"US dollars, exchange rate converted",2014,0.0
Czechia,Seed,Percentage of GDP,2014,0.0
Estonia,Seed,"US dollars, exchange rate converted",2007,0.0
Estonia,Seed,Percentage of GDP,2007,0.0
Estonia,Seed,Percentage of GDP,2008,0.0
Estonia,Seed,"US dollars, exchange rate converted",2008,0.0
Estonia,Seed,"US dollars, exchange rate converted",2013,0.0
Estonia,Seed,Percentage of GDP,2013,0.0
Greece,Seed,Percentage of GDP,2007,0.0
Greece,Seed,"US dollars, exchange rate converted",2007,0.0
Greece,Seed,"US dollars, exchange rate converted",2012,0.0
Greece,Seed,Percentage of GDP,2012,0.0
Hungary,Seed,Percentage of GDP,2007,0.0
Hungary,Seed,"US dollars, exchange rate converted",2007,0.0
Hungary,Seed,"US dollars, exchange rate converted",2008,0.0
Hungary,Seed,Percentage of GDP,2008,0.0
Hungary,Seed,Percentage of GDP,2009,0.0
Hungary,Seed,"US dollars, exchange rate converted",2009,0.0
Ireland,Seed,"US dollars, exchange rate converted",2007,0.0
Ireland,Seed,Percentage of GDP,2007,0.0
Latvia,Seed,"US dollars, exchange rate converted",2008,0.0
Latvia,Seed,Percentage of GDP,2008,0.0
Latvia,Seed,Percentage of GDP,2009,0.0
Latvia,Seed,"US dollars, exchange rate converted",2009,0.0
Latvia,Seed,"US dollars, exchange rate converted",2010,0.0
Latvia,Seed,Percentage of GDP,2010,0.0
Latvia,Seed,Percentage of GDP,2011,0.0
Latvia,Seed,"US dollars, exchange rate converted",2011,0.0
Latvia,Seed,"US dollars, exchange rate converted",2012,0.0
Latvia,Seed,Percentage of GDP,2012,0.0
