# Source: NCSES, Survey of Earned Doctorates (SED), 2024 cycle.
# Table 2-6. "Employment sector of research doctorate recipients with definite
#   postgraduation commitments for non-postdoc employment in the United States,
#   by trend broad field of doctorate: Selected years, 1994-2024." (NSF 25-349)
# URL: https://ncses.nsf.gov/pubs/nsf25349/assets/data-tables/tables/nsf25349-tab002-006.pdf
# Accessed: 2026-06-22
# Values are PERCENT of doctorate recipients reporting definite non-postdoc
#   employment commitments IN THE UNITED STATES, within each field x year.
# "industry" includes self-employment. Percentages within a field-year are over
#   all sectors (academe, government, industry, nonprofit, other) and need not sum
#   to exactly 100 due to rounding.
# NOTE: Beginning 2021 a modified CIP taxonomy was used; field-of-doctorate data
#   prior to 2021 may not be perfectly comparable to 2024. The "All fields" and
#   "Total S&E" aggregates are the most robust to this break.
field,year,academe_pct,industry_pct
All fields,1994,51.2,21.1
All fields,1999,48.8,27.5
All fields,2004,56.1,18.9
All fields,2009,51.8,25.7
All fields,2014,49.2,32.2
All fields,2019,41.3,38.5
All fields,2024,39.6,40.4
Total S&E,1994,42.0,35.2
Total S&E,1999,37.2,43.8
Total S&E,2004,46.8,32.5
Total S&E,2009,41.1,40.9
Total S&E,2014,37.1,46.2
Total S&E,2019,29.6,52.5
Total S&E,2024,30.1,52.4
Engineering,1994,19.6,64.6
Engineering,1999,14.1,74.2
Engineering,2004,22.0,61.8
Engineering,2009,14.4,73.1
Engineering,2014,14.9,72.1
Engineering,2019,12.1,74.3
Engineering,2024,13.9,74.2
Computer and information sciences,1994,41.5,49.5
Computer and information sciences,1999,36.1,54.8
Computer and information sciences,2004,52.7,38.9
Computer and information sciences,2009,28.6,64.2
Computer and information sciences,2014,21.7,71.7
Computer and information sciences,2019,22.3,69.3
Computer and information sciences,2024,27.6,65.4
Physical sciences,1994,22.1,64.9
Physical sciences,1999,19.9,70.1
Physical sciences,2004,23.8,59.5
Physical sciences,2009,26.0,58.2
Physical sciences,2014,23.4,67.2
Physical sciences,2019,15.0,75.7
Physical sciences,2024,17.9,70.7
Mathematics and statistics,1994,72.3,19.6
Mathematics and statistics,1999,61.4,31.3
Mathematics and statistics,2004,73.1,18.9
Mathematics and statistics,2009,58.7,28.5
Mathematics and statistics,2014,50.8,39.7
Mathematics and statistics,2019,35.4,55.4
Mathematics and statistics,2024,38.5,49.5
Biological and biomedical sciences,1994,47.0,25.7
Biological and biomedical sciences,1999,42.8,33.7
Biological and biomedical sciences,2004,45.7,27.5
Biological and biomedical sciences,2009,40.3,33.6
Biological and biomedical sciences,2014,38.5,43.7
Biological and biomedical sciences,2019,27.2,54.7
Biological and biomedical sciences,2024,30.6,51.9
